Date,Open,High,Low,Close,Adj Close,Volume,ma5,ma20,ema5,ema20,rsi6,rsi12,rsi24,mom6,mom12,mom24,roc,willr,trange
2010/6/4,32.93,36.119999,31.809999,35.48,35.48,0,32.544,33.375,32.9524457,31.7985972,56.39481826,55.53043981,56.06456978,0.46,1.930001,13.430001,20.43449153,-52.78008495,6.66
2010/6/7,35.66,36.799999,34.43,36.57,36.57,0,33.444,33.15599995,34.15829713,32.25301651,58.80071031,56.75626864,56.78279563,6.89,1.25,16.379999,3.072153326,-48.25726356,2.369999
2010/6/8,36.529999,37.380001,33.360001,33.700001,33.700001,0,33.076,33.399,34.00553176,32.39082456,50.07166817,52.59207327,54.34205914,1.630001,-12.09,9.860001,-7.847960077,-60.16597261,4.02
2010/6/9,32.330002,34.119999,30.23,33.73,33.73,0,33.788,33.6695,33.91368784,32.51836508,50.16446421,52.63170278,54.36345478,-1.810001,-6.369998,8.82,0.089017802,-60.04149543,3.889999
2010/6/10,31,31.77,29.690001,30.57,30.57,0,34.0100002,33.922,32.79912523,32.3328065,40.62120491,48.01905649,51.70047864,0.4,-7.75,-2.229999,-9.368514675,-73.15352808,4.039999
2010/6/11,31.790001,31.790001,28.6,28.790001,28.790001,0,32.6720004,34.02750005,31.46275048,31.99539645,35.99281176,45.56515663,50.25356314,-0.669998,-5.82,-12.16,-5.822698724,-76.12016027,3.190001
2010/6/14,27.940001,28.719999,26.98,28.58,28.58,0,31.0740004,33.89450005,30.50183366,31.6701206,35.42142998,45.26742895,50.08101641,-6.9,-6.44,-0.26,-0.729423386,-77.18941169,1.810001
2010/6/15,27.68,27.84,25.68,25.870001,25.870001,0,29.5080004,33.6460001,28.95788944,31.11772826,28.43193189,41.45421347,47.86784554,-10.699999,-3.809999,-2.449999,-9.482151854,-86.67168022,2.9
2010/6/16,26.719999,26.719999,25.34,25.92,25.92,0,27.9460004,33.26450015,27.94525962,30.62270652,28.74323213,41.5533072,47.91216085,-7.780001,-6.15,0.4,0.19327019,-95.18272465,1.379999
2010/6/17,25.59,26.639999,25.049999,25.049999,25.049999,0,26.8420002,32.7510001,26.98017275,30.09197247,26.35002205,40.25979907,47.18390532,-8.680001,-10.490002,-1.630001,-3.35648534,-100,1.59
2010/6/18,24.870001,24.879999,23.299999,23.950001,23.950001,0,25.8740002,31.6590001,25.9701155,29.5070228,23.39463188,38.60235797,46.25629739,-6.619999,-6.219999,-7.289999,-4.391209756,-95.38350918,1.75
2010/6/21,22.9,25.639999,22.870001,24.879999,24.879999,0,25.134,30.89800015,25.60674333,29.06635387,31.22101283,40.84836911,47.17252618,-3.910002,-4.58,-5.960001,3.883081257,-86.14749828,2.769998
2010/6/22,25.139999,27.049999,24.41,27.049999,27.049999,0,25.3699996,30.3345001,26.08782856,28.87432007,46.5197114,45.88716515,49.27792553,-1.530001,-8.430001,-6.5,8.721865302,-71.19229497,2.639999
2010/6/23,26.93,28.549999,26.540001,26.91,26.91,0,25.5679996,29.94950005,26.3618857,28.68724197,45.73218145,45.61369554,49.14606586,1.039999,-9.66,-8.41,-0.517556396,-72.1571399,2.009998
2010/6/24,27.610001,30.27,27.530001,29.74,29.74,0,26.5059998,29.68550005,27.4879238,28.78750464,61.52994524,51.93101531,51.86302609,3.82,-3.960001,-16.050001,10.5165366,-52.65334941,3.36
2010/6/25,29.639999,30.41,28.07,28.530001,28.530001,0,27.4219998,29.6280001,27.83528287,28.76298048,53.53411282,49.26205,50.65557932,3.480002,-5.199999,-11.569997,-4.068591123,-60.99241902,2.34
2010/6/28,29.200001,29.9,28.469999,29,29,0,28.246,29.4745001,28.22352191,28.78555377,56.18789022,50.34346651,51.11685926,5.049999,-1.57,-9.32,1.647385151,-45.51111031,1.430001
2010/6/29,31.219999,35.389999,31.219999,34.130001,34.130001,0,29.6620004,29.4040001,30.19234827,29.29454875,74.93661526,60.39475727,55.82066728,9.250002,5.34,-0.48,17.68965862,-10.0638834,6.389999
